"A6_bulk_NoDrug" "C10_bulk_NoDrug"
"MYO5C" 0 0.0739989678623963
"CSRNP1" 3.80662845166986 7.54789472196442
"CELA2A" 0 0
"SLC22A13" 0 0.0739989678623963
"AP000563.2" 0.0761325690333973 0.0739989678623963
"PIKFYVE" 107.423054906124 84.8028171703061
"GAB3" 1.67491651873474 1.40598038938553
"UNK" 128.968571942575 145.703967721058
"CXADRP1" 0 0
"CTD-2013N24.2" 2.20784450196852 1.84997419655991
"KDSR" 51.6178818046434 41.8834158101163
"RPL12P39" 0 0
"CFHR2" 0 0
"RP11-110L15.1" 0 0
"AC139099.4" 0 0
"RP11-141O15.1" 0.609060552267178 0.517992775036774
"GAPDHP62" 0.0761325690333973 0.0739989678623963
"UGP2" 70.5748914939593 92.1287149886833
"OR10J7P" 0 0
"CTD-2349P21.10" 0.380662845166987 0
"GS1-388B5.8" 0 0
"RP11-810K23.6" 0 0
"RP11-422P24.9" 13.9322601331117 14.5777966688921
"CTB-158E9.1" 0 0
"CLDN25" 0 0
"SLC22A25" 0 0.0739989678623963
"AC068489.1" 0.0761325690333973 0
"RARRES2P4" 0 0
"ACER3" 78.949474087633 42.0314137458411
"RP11-705C15.5" 0.0761325690333973 0
"GS1-124K5.12" 16.292369773147 18.7957378370486
"CTC-338M12.5" 0.609060552267178 0.665990710761566
"RP6-149D17.1" 0 0
"OR13C4" 0 0
"CTD-3203P2.1" 0.0761325690333973 0
"ADH1A" 0 0
"VCX3A" 0 0
"KCTD14" 3.88276102070326 0.295995871449585
"GPN3P1" 0.0761325690333973 0.147997935724793
"RP11-217O12.1" 0 0
"RP11-305M3.2" 0.532927983233781 1.10998451793594
"IL17RE" 1.14198853550096 1.9239731644223
"RP11-382A20.3" 28.7019785255908 24.7156552660404
"CTD-2127O16.2" 0 0
"SLC26A4" 2.7407724852023 1.77597522869751
"FAM135A" 9.51657112917466 14.5777966688921
"RP11-535A5.1" 0 0
"LINC00396" 0 0
"RP11-745A24.2" 0.0761325690333973 0.147997935724793
"RSF1" 138.637408209816 105.078534364603
"CMIP" 31.2904858727263 33.2255365702159
"PARP9" 37.6094891024983 23.8276676516916
"TMCO1" 68.8238424061912 65.1930906867711
"C7orf72" 0 0
"RP11-206P5.2" 1.67491651873474 0.739989678623963
"PKMYT1" 93.7953250491455 124.022270137376
"RP11-103J17.2" 0 0
"RP11-379L18.1" 0 0
"OFD1P13Y" 0 0
"NDUFA8" 49.4100373026749 74.3689627017082
"NOTCH3" 0.609060552267178 0.369994839311981
"SIGLEC6" 0.609060552267178 0
"SCLY" 14.9219835305459 18.2777450620119
"RP11-550P17.5" 0 0
"LINC01060" 0.228397707100192 0.295995871449585
"THG1L" 15.7594417899132 13.9118059581305
"RP11-192N10.2" 0 0
"RP11-70F11.8" 0 0
"GS1-122H1.1" 0 0
"CDH12P2" 0 0
"SMLR1" 0 0
"PPP1R15A" 116.482830621098 98.9366200320238
"RP11-484D2.4" 0.152265138066795 0.221996903587189
"GAPDHP19" 0 0
"RP11-183E9.2" 0.228397707100192 0.0739989678623963
"LINC01090" 0 0
"WDR1" 430.758075590962 589.401779023986
"RP11-404E12.1" 0 0.0739989678623963
"SPANXN4" 0 0
"MTSS1" 9.28817342207447 1.84997419655991
"UTP3" 33.346065236628 44.1773838138506
"MTCP1" 1.67491651873474 2.66396284304627
"POU2AF1" 0.0761325690333973 0
"SERPINB3" 0 0
"ZNF347" 0 0
"TEX12" 0 0
"PDE6D" 27.407724852023 32.9295406987663
"POTEB2" 0 0
"RP11-227F19.1" 0 0
"RAB8A" 32.6608721153274 32.5595458594544
"NYNRIN" 0.0761325690333973 0
"GAGE12C" 0 0
"RP11-1038A11.1" 0 0
"MAGEB17" 0 0
"STARD13-AS" 0.0761325690333973 0
"RP11-1406H17.1" 0 0
"CTD-2319I12.4" 2.20784450196852 1.55397832511032
"CTD-2184D3.6" 0 0
"HMGN2P15" 0 0.147997935724793
"TPCN1" 88.4660452168077 95.0886737031792
"RP11-586D19.1" 0 0
"DPY19L2P1" 0 0
"CTD-2012K14.6" 0.228397707100192 0.0739989678623963
"FBRSL1" 76.5132318785643 100.934592164308
"FNDC9" 0 0.0739989678623963
"FTH1P21" 0.0761325690333973 0
"RP11-10C24.2" 0 0
"FAM132A" 0.380662845166987 0.443993807174378
"CD24" 0 0
"DNAJB5" 9.59270369820806 13.2458152473689
"CCR9" 0.0761325690333973 0
"RP11-305P14.1" 0 0
"UBTFL9" 0 0
"C18orf21" 10.4301619575754 9.76786375783631
"RPS2P7" 1.06585596646756 0.961986582211151
"AC112220.2" 0 0
"AP1S2" 154.777512844897 62.8991226830368
"TMC7" 0.152265138066795 0.369994839311981
"FKBP9P1" 11.4198853550096 8.73187820776276
"ANKRD26P4" 0 0
"RP11-170L3.4" 0.228397707100192 0.147997935724793
"ZNF575" 4.56795414200384 3.9959442645694
"DYNLT3" 14.4651881163455 12.8018214401946
"ABHD18" 6.47126836783877 8.73187820776276
"RP11-229P13.2" 0.152265138066795 0
"LINC00207" 0 0
"RP11-576N17.2" 0 0
"PIGY" 0 0
"SLC27A5" 0.532927983233781 4.06994323243179
"RP11-548K12.5" 0 0
"GS1-259H13.7" 0.304530276133589 0.221996903587189
"SPSB4" 0 0
"RP11-77P16.4" 1.21812110453436 0.369994839311981
"ZNF970P" 0 0
"FAM149B1P1" 0.761325690333973 0.369994839311981
"RP11-58O15.1" 0 0
"CTC-246B18.10" 0.152265138066795 0.0739989678623963
"MUC16" 0 0.0739989678623963
"CTD-2375G15.1" 0 0
"ENOX2" 13.6277298569781 17.3897574476631
"NUDT19P4" 0 0
"AP000355.2" 0 0
"AC005394.1" 0 0
"RP11-125H8.1" 0.83745825936737 1.10998451793594
"RP11-58A18.1" 0 0
"RP11-169E6.1" 0 0.0739989678623963
"HMX2" 0 1.18398348579834
"EAF2" 3.65436331360307 4.21794116815659
"RP11-576N17.5" 0 0
"RP4-655J12.4" 0.380662845166987 0.295995871449585
"RP11-236P24.1" 0 0
"STK33P1" 0 0
"RP11-258C19.4" 0.761325690333973 0.147997935724793
